model,activation,initializer,optimizer,regularizer,dropout,test_acc,test_loss,plot
mlp,relu,he_uniform,sgd_good,,,0.8773999810218811,0.3378464877605438,src/task_1/plots/mlp/mlp_1_relu_he_uniform_sgd_good_None_dropNone.png
mlp,relu,he_uniform,sgd_good,l2,,0.8586999773979187,0.473316490650177,src/task_1/plots/mlp/mlp_2_relu_he_uniform_sgd_good_l2_dropNone.png
mlp,relu,he_uniform,adam_good,l2,,0.8676999807357788,0.4455965757369995,src/task_1/plots/mlp/mlp_3_relu_he_uniform_adam_good_l2_dropNone.png
mlp,relu,he_uniform,sgd_good,,0.3,0.8733999729156494,0.34491708874702454,src/task_1/plots/mlp/mlp_4_relu_he_uniform_sgd_good_None_drop0.3.png
mlp,relu,he_uniform,sgd_good,,0.7,0.836899995803833,0.44371259212493896,src/task_1/plots/mlp/mlp_5_relu_he_uniform_sgd_good_None_drop0.7.png
mlp,relu,random_normal,adam_good,,0.3,0.882099986076355,0.32936978340148926,src/task_1/plots/mlp/mlp_6_relu_random_normal_adam_good_None_drop0.3.png
mlp,sigmoid,he_uniform,sgd_good,,0.3,0.8256999850273132,0.4765781760215759,src/task_1/plots/mlp/mlp_7_sigmoid_he_uniform_sgd_good_None_drop0.3.png
mlp,sigmoid,random_normal,sgd_bad,,0.7,0.16680000722408295,2.295220136642456,src/task_1/plots/mlp/mlp_8_sigmoid_random_normal_sgd_bad_None_drop0.7.png
mlp,relu,he_uniform,sgd_good,l2,,0.8640999794006348,0.4804815351963043,src/task_1/plots/mlp/mlp_9_relu_he_uniform_sgd_good_l2_dropNone.png
mlp,relu,random_normal,sgd_good,l1,,0.8208000063896179,0.6726174354553223,src/task_1/plots/mlp/mlp_10_relu_random_normal_sgd_good_l1_dropNone.png
mlp,relu,random_normal,adam_bad,l2,,0.6852999925613403,1.099461555480957,src/task_1/plots/mlp/mlp_11_relu_random_normal_adam_bad_l2_dropNone.png
mlp,sigmoid,he_uniform,sgd_bad,l1,,0.29679998755455017,14.441335678100586,src/task_1/plots/mlp/mlp_12_sigmoid_he_uniform_sgd_bad_l1_dropNone.png
mlp,relu,random_normal,adam_bad,,,0.548799991607666,1.043912410736084,src/task_1/plots/mlp/mlp_13_relu_random_normal_adam_bad_None_dropNone.png
mlp,relu,he_uniform,adam_bad,,,0.7466999888420105,0.7486227750778198,src/task_1/plots/mlp/mlp_14_relu_he_uniform_adam_bad_None_dropNone.png
mlp,sigmoid,random_normal,sgd_bad,,,0.19089999794960022,2.282979965209961,src/task_1/plots/mlp/mlp_15_sigmoid_random_normal_sgd_bad_None_dropNone.png
mlp,sigmoid,he_uniform,sgd_good,l2,,0.8313000202178955,0.6279106736183167,src/task_1/plots/mlp/mlp_16_sigmoid_he_uniform_sgd_good_l2_dropNone.png
mlp,sigmoid,he_uniform,adam_good,,0.3,0.878000020980835,0.3399548828601837,src/task_1/plots/mlp/mlp_17_sigmoid_he_uniform_adam_good_None_drop0.3.png
mlp,relu,random_normal,sgd_good,l1,,0.8313999772071838,0.6382715702056885,src/task_1/plots/mlp/mlp_18_relu_random_normal_sgd_good_l1_dropNone.png
mlp,relu,he_uniform,sgd_good,l2,0.3,0.863099992275238,0.48531636595726013,src/task_1/plots/mlp/mlp_19_relu_he_uniform_sgd_good_l2_drop0.3.png
mlp,relu,he_uniform,adam_good,l1,0.3,0.8169000148773193,0.8279472589492798,src/task_1/plots/mlp/mlp_20_relu_he_uniform_adam_good_l1_drop0.3.png
mlp,sigmoid,random_normal,sgd_bad,l2,0.7,0.18690000474452972,2.9482719898223877,src/task_1/plots/mlp/mlp_21_sigmoid_random_normal_sgd_bad_l2_drop0.7.png
mlp,relu,random_normal,adam_bad,l2,0.7,0.10000000149011612,2.304351806640625,src/task_1/plots/mlp/mlp_22_relu_random_normal_adam_bad_l2_drop0.7.png
mlp,sigmoid,he_uniform,sgd_bad,,0.7,0.11949999630451202,2.27667236328125,src/task_1/plots/mlp/mlp_23_sigmoid_he_uniform_sgd_bad_None_drop0.7.png
mlp,relu,he_uniform,sgd_bad,,0.7,0.5472999811172485,1.882832407951355,src/task_1/plots/mlp/mlp_24_relu_he_uniform_sgd_bad_None_drop0.7.png
