model,mean_cse,median_cse,p90_cse
light__classifier_24bins,140.1119384765625,119.0,305.099853515625
light__classifier_144bins,180.25860595703125,179.5,325.5
light__classifier_720bins,180.13194274902344,181.5,323.599853515625
light__regression,140.46939086914062,116.6683349609375,304.7212829589844
light__circle,120.33804321289062,108.48554992675781,243.2340545654297
light__multi_regular,169.57156372070312,170.25131225585938,314.7313537597656
light__multi_circle,178.9087371826172,179.00274658203125,323.9151611328125
medium__classifier_24bins,10.828611373901367,8.0,14.0
medium__classifier_144bins,6.45805549621582,1.5,2.5
medium__classifier_720bins,25.851943969726562,0.5,64.5
medium__regression,26.531646728515625,18.21753692626953,51.33453369140625
medium__circle,6.814070224761963,5.2614288330078125,14.136370658874512
medium__multi_regular,99.21265411376953,61.913909912109375,239.4154510498047
medium__multi_circle,2.526386260986328,0.879638671875,2.346766233444214
heavy__classifier_24bins,7.642499923706055,7.0,13.0
heavy__classifier_144bins,12.533333778381348,1.5,6.5
heavy__classifier_720bins,182.5050048828125,185.5,323.5
heavy__regression,18.685117721557617,13.472183227539062,39.089805603027344
heavy__circle,5.611793518066406,4.904510498046875,10.831143379211426
heavy__multi_regular,112.03522491455078,61.77532196044922,297.802978515625
heavy__multi_circle,0.8531445264816284,0.4755859375,1.277807354927063
